아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP15-113,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP17-039,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP17-051,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP18-039,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP18-041,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP18-046,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP18-050,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP18-051,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP18-117,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,CP03-052,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,CP03-056,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,CP03-060,3.00,1.0,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,BP18-123,2.00,0.666667,100.00%
1,干絶の飢餓・ギルネリーゼ / 栄光の華・エレノア / マギスの魔導師 / 越光の六銘伝・マナ / ジュエリーマネージャー・フラージュ,CP03-048,2.00,0.666667,100.00%
