아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP10-043,3.00,1.0,100.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP10-047,3.00,1.0,100.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP14-036,3.00,1.0,100.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP14-042,3.00,1.0,100.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP14-043,3.00,1.0,100.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP14-049,3.00,1.0,100.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP16-040,3.00,1.0,100.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP10-037,2.50,0.833333,100.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP14-115,2.50,0.833333,100.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP05-044,1.50,0.5,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP05-103,1.50,0.5,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP07-048,1.50,0.5,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP13-047,1.50,0.5,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP14-118,1.50,0.5,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP15-112,1.50,0.5,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP15-113,1.50,0.5,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP16-117,1.50,0.5,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,CP04-041,1.00,0.333333,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP02-035,0.50,0.166667,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP05-112,0.50,0.166667,50.00%
3,剥落の暴圧 / 蒙昧なる術式 / 真理の大文豪・ユキシマ / 一世の探究 / 管弦の魔術師,BP12-050,0.50,0.166667,50.00%
