아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP05-058,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP05-063,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP05-068,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP08-063,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP15-057,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP15-064,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP15-066,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP15-072,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP15-113,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,CP04-062,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,SD04-002,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,SP01-028,3.00,1.0,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP05-055,2.00,0.666667,100.00%
6,侮蔑の炎爪 / 侮蔑の従者 / 覇極 / 侮蔑の狂信者 / 烈絶の侮蔑・ガルミーユ,BP08-068,2.00,0.666667,100.00%
